,OTU1,OTU2,OTU3,OTU4,OTU5,OTU6,OTU7,OTU8,OTU9,OTU10,OTU11,OTU12,OTU13,OTU14,OTU15,OTU16,OTU17,OTU18,OTU19,OTU20,OTU21,OTU22,OTU23,OTU24,OTU25,OTU26,OTU27,OTU28,OTU29,OTU30,OTU31,OTU32,OTU33,OTU34,OTU35,OTU36,OTU37,OTU38,OTU39,OTU40,OTU41,OTU42,OTU43,OTU44,OTU45,OTU46,OTU47,OTU48,OTU49,OTU50,OTU51,OTU52,OTU53,OTU54,OTU55,OTU56,OTU57,OTU58,OTU59,OTU60,OTU61,OTU62,OTU63,OTU64,OTU65,OTU66,OTU67,OTU68,OTU69,OTU70,OTU71,OTU72,OTU73,OTU74,OTU75,OTU76,OTU77,OTU78,OTU79,OTU80,OTU81,OTU82,OTU83,OTU84,OTU85,OTU86,OTU87,OTU88,OTU89,OTU90,OTU91,OTU92,OTU93,OTU94,OTU95,OTU96,OTU97,OTU98,OTU99,OTU100
Sample1,1655,55,79,64,26,103,28,0,0,0,0,0,0,0,59,0,241,27,46,13,0,80,9,32,116,58,31,0,23,316,0,0,0,86,79,0,0,77,0,17,0,12,26,27,97,0,74,0,41,0,0,0,26,13,64,0,0,0,0,0,0,8,38,25,0,0,9,0,0,0,0,216,0,14,0,0,0,57,0,0,109,12,16,0,0,72,0,120,0,73,0,84,15,53,245,4,41,27,0,160
Sample2,1547,89,62,56,19,93,32,0,0,0,0,0,0,0,56,0,226,20,62,0,0,118,0,36,133,57,31,16,21,404,0,0,6,91,95,0,0,101,0,22,0,12,24,12,89,5,66,0,39,0,0,0,36,13,78,0,14,0,0,0,0,4,52,24,0,0,6,0,0,0,0,229,0,15,0,0,0,49,0,0,126,11,9,0,0,83,0,96,0,68,0,83,14,65,257,6,40,36,0,174
Sample3,1576,45,62,57,16,106,32,0,0,0,0,0,0,14,56,0,226,25,54,0,0,60,0,52,120,70,0,20,23,355,0,0,7,98,82,0,0,101,0,13,0,14,32,13,83,0,72,0,34,0,9,0,26,12,86,0,0,0,0,0,3,8,50,17,0,0,7,8,0,0,0,217,0,12,0,0,0,55,0,0,119,0,14,0,0,91,0,119,0,23,0,74,13,71,308,0,46,37,0,167
Sample4,1538,31,81,57,23,75,30,0,0,0,18,0,0,7,46,0,237,22,50,0,0,44,9,35,113,58,0,25,21,303,0,0,5,69,98,0,0,65,0,30,0,14,20,23,77,5,59,0,44,0,0,0,30,9,78,0,0,0,0,0,4,5,29,16,0,0,0,0,0,0,0,180,0,8,0,0,0,58,0,0,124,8,12,0,0,80,0,106,0,56,0,80,16,59,285,5,49,40,0,155
Sample5,1159,33,75,57,29,88,31,0,0,0,0,0,0,15,65,0,201,30,62,0,0,70,0,60,100,67,38,28,12,296,0,0,6,76,107,0,0,72,0,23,0,12,25,16,80,0,60,0,36,0,0,0,47,13,71,0,14,0,0,0,13,6,51,12,0,0,0,0,0,0,0,208,0,0,0,0,0,45,0,0,85,10,10,0,0,87,0,113,0,48,0,68,11,54,259,6,39,42,0,146
Sample6,1743,50,76,67,20,108,31,0,0,0,0,0,0,6,58,0,240,34,63,0,0,52,0,62,135,67,0,23,20,392,0,0,0,90,98,0,0,60,0,28,0,16,38,15,89,15,63,0,46,0,0,0,25,12,68,0,0,0,0,0,3,8,58,23,0,0,0,0,0,0,0,241,0,11,0,0,0,62,0,0,127,9,15,0,0,107,0,138,0,47,0,83,15,60,311,0,41,34,0,164
Sample7,1953,50,84,69,21,87,36,0,0,0,0,0,0,19,81,0,278,30,58,16,0,60,10,45,127,93,0,33,27,221,0,0,6,77,102,0,0,81,0,22,0,22,39,40,84,10,79,7,53,0,0,0,41,15,96,0,0,0,0,0,9,7,61,25,0,0,7,0,0,0,0,217,0,7,0,0,0,95,0,0,155,10,12,0,0,75,0,118,0,85,0,133,14,31,300,0,27,26,0,182
Sample8,1736,80,83,67,27,88,26,0,0,0,0,0,0,9,90,0,266,24,40,16,0,103,17,46,140,86,23,29,36,320,0,0,0,69,87,0,0,180,0,39,0,20,35,20,84,12,75,9,45,0,32,0,22,11,113,0,0,0,0,0,2,7,55,25,0,0,0,0,0,0,0,200,0,21,0,0,0,77,4,0,140,0,17,0,0,104,0,112,0,101,0,148,13,29,293,6,35,10,0,182
Sample9,1808,57,77,70,21,91,38,0,0,0,0,0,0,9,77,0,278,26,54,11,0,103,14,57,141,76,0,27,33,313,0,0,0,72,89,0,0,152,0,23,0,25,27,26,108,0,90,0,37,0,0,0,27,23,85,0,0,0,0,0,4,11,56,31,0,0,7,0,0,0,0,197,0,18,0,0,0,75,0,0,144,10,24,0,0,113,0,101,0,81,0,156,26,37,321,5,45,17,0,192
Sample10,1955,26,66,75,19,89,33,0,0,0,0,0,0,18,90,15,250,24,55,25,0,74,7,52,129,83,15,35,18,265,0,0,0,110,105,0,6,87,0,36,0,21,27,24,91,0,77,7,43,0,9,0,24,19,83,0,0,0,0,0,4,5,43,31,0,0,0,0,0,0,0,171,0,11,0,0,0,87,0,0,144,10,16,0,0,90,0,128,0,83,0,173,19,34,274,10,54,9,0,164
Sample11,2107,45,69,53,27,119,54,0,0,0,18,0,0,8,73,0,395,21,46,10,0,45,16,47,157,82,30,30,19,277,0,0,6,78,89,0,0,63,0,30,0,20,27,37,76,11,96,6,52,0,0,0,42,15,133,0,8,0,0,0,0,6,51,45,0,0,0,0,0,0,0,224,0,8,0,0,0,59,0,0,183,11,22,0,0,70,0,67,0,97,0,123,13,26,411,6,31,0,0,248
Sample12,2266,47,69,85,21,123,33,0,0,0,0,0,0,14,98,0,332,31,54,0,0,41,13,63,137,90,0,36,24,277,0,0,0,88,110,0,0,67,0,39,0,27,45,26,93,0,81,0,60,0,0,0,17,16,122,0,0,0,0,0,7,16,52,26,0,0,12,0,0,0,0,236,0,8,0,0,0,99,0,0,182,18,16,0,0,111,0,146,0,89,0,165,15,41,354,0,37,18,0,229
Sample13,1693,26,129,56,26,86,40,0,0,0,24,0,0,0,63,0,249,51,72,21,0,22,0,55,123,62,0,0,29,280,0,0,0,87,100,0,0,41,0,22,0,15,0,32,74,0,86,0,50,0,0,0,45,17,100,0,0,0,0,0,0,0,47,25,0,0,0,0,0,0,0,257,5,0,0,0,0,57,0,0,115,21,9,0,0,72,0,120,0,101,0,56,20,88,225,0,40,28,0,162
Sample14,1198,78,47,45,11,66,34,0,0,0,0,0,0,8,70,0,173,16,87,0,0,59,0,33,113,65,29,0,34,584,0,0,0,64,59,0,0,80,0,0,0,15,32,7,69,8,48,0,33,0,0,0,39,0,57,0,0,0,0,0,4,0,39,15,0,0,11,0,0,0,0,194,0,7,0,0,0,26,0,0,105,7,9,0,0,59,0,162,0,16,0,63,0,47,240,0,35,29,0,119
Sample15,1678,44,108,57,21,99,36,0,0,0,0,0,0,8,70,0,250,35,78,7,0,41,12,41,102,60,0,24,23,386,0,0,0,75,96,0,0,70,0,21,0,17,34,21,79,7,68,0,49,0,23,0,36,19,90,0,0,0,0,0,0,0,70,23,0,0,0,0,0,0,0,211,0,0,0,0,0,71,0,0,120,10,13,0,0,66,0,148,0,82,0,61,15,69,228,0,36,34,0,167
Sample16,1530,43,104,59,16,61,21,0,0,0,0,0,0,9,63,0,272,34,92,13,0,48,9,40,124,75,31,22,20,412,0,0,0,63,87,0,0,76,0,21,0,18,29,13,83,8,65,11,38,0,8,0,33,14,86,0,0,0,0,0,0,4,67,31,0,0,6,0,0,0,0,134,0,0,0,0,0,71,0,0,124,0,20,0,0,83,0,84,0,38,0,88,10,63,211,6,59,39,0,182
Sample17,1619,58,72,46,12,103,21,0,0,0,0,0,0,0,47,0,272,32,75,10,0,66,18,35,101,65,17,23,24,433,0,0,0,66,95,0,0,60,0,11,0,16,24,8,79,8,69,0,45,0,0,0,27,11,100,0,0,0,0,0,0,0,45,19,0,0,3,0,0,0,0,189,0,0,0,0,0,69,0,0,124,8,12,0,0,75,0,126,0,36,0,74,12,66,232,6,43,41,0,181
Sample18,1435,61,90,58,21,82,37,0,0,0,0,0,0,4,75,0,219,28,79,0,0,73,0,35,121,82,0,0,32,521,0,0,0,85,81,0,0,76,0,15,0,12,39,12,72,0,67,0,49,0,0,0,40,13,74,0,0,0,0,0,3,7,45,21,0,0,0,0,0,0,0,195,0,9,0,0,0,39,0,0,102,9,12,0,0,82,0,104,0,41,0,64,15,63,226,4,44,25,0,147
Sample19,1826,59,74,74,21,94,26,0,0,0,0,0,0,10,76,0,258,31,46,14,0,54,8,61,128,82,0,31,21,304,0,0,0,96,97,0,6,69,0,35,0,16,43,29,85,6,59,0,52,0,0,0,48,10,95,0,14,0,0,0,0,10,69,25,0,0,0,0,0,0,0,274,0,11,0,0,0,108,0,0,132,10,21,0,0,77,0,145,0,90,0,145,17,50,320,8,42,31,0,215
Sample20,1810,34,84,62,18,168,56,0,0,0,0,0,0,5,86,0,270,33,37,21,0,60,10,67,125,79,44,23,25,335,0,0,0,96,97,0,0,86,0,27,0,27,19,38,87,10,93,0,38,0,0,0,56,17,87,0,19,0,0,0,0,13,44,34,0,0,0,0,0,0,0,244,0,9,0,0,0,73,0,0,137,11,20,0,0,72,0,115,0,105,0,148,16,33,315,6,37,24,0,199
Sample21,2186,29,77,70,17,105,35,0,0,0,0,0,0,7,70,0,301,29,55,0,0,35,0,47,112,65,0,27,20,287,0,0,0,105,107,0,6,56,0,27,0,13,0,38,83,0,79,8,38,0,13,0,46,14,112,0,0,0,0,0,0,18,65,31,0,0,7,0,0,0,0,276,0,9,0,0,0,80,0,0,126,12,0,0,0,83,0,150,0,108,0,134,15,49,332,3,37,31,0,210
Sample22,2063,59,83,82,22,106,69,0,0,0,0,0,0,10,68,0,301,38,37,18,0,61,0,62,126,80,20,32,18,356,0,0,9,85,119,0,0,70,0,20,0,15,0,57,84,10,93,0,49,0,0,0,50,22,98,0,0,0,0,0,5,10,43,30,0,0,0,0,0,0,0,266,0,12,0,0,0,67,0,0,117,22,24,0,0,97,0,149,0,123,0,140,28,35,314,6,47,22,0,214
Sample23,1704,67,86,74,18,105,41,0,0,0,25,0,0,5,71,0,294,22,60,13,0,57,0,54,97,70,0,32,30,314,0,0,0,112,99,0,0,88,0,37,0,14,0,26,99,10,61,0,35,0,0,0,43,14,104,0,0,0,0,0,0,16,54,16,0,0,8,0,0,0,0,258,0,0,0,0,0,97,0,0,132,15,8,0,0,75,0,116,0,91,0,136,13,39,289,7,37,25,0,205
Sample24,2121,32,77,65,25,106,39,0,0,0,10,0,0,6,65,0,256,27,55,13,0,47,13,53,150,75,22,24,26,272,0,0,7,93,104,0,0,56,0,22,0,11,0,26,85,10,76,0,47,0,15,0,33,18,84,0,0,0,0,0,0,7,46,25,0,0,0,0,0,0,0,218,0,10,0,0,0,71,0,0,118,14,16,0,0,84,0,148,0,79,0,138,22,46,285,0,32,26,0,205
Sample25,925,117,67,145,19,79,21,0,151,293,137,114,0,8,68,0,173,20,59,0,54,106,0,37,67,37,221,21,16,164,20,88,0,70,88,10,0,66,83,19,36,6,0,0,50,0,42,0,22,75,0,0,32,30,151,0,0,23,39,0,2,18,37,17,5,36,0,0,0,63,16,182,0,0,16,0,68,62,0,54,78,0,13,0,39,74,74,51,22,23,27,73,9,48,209,0,30,92,111,114
Sample26,820,130,65,197,28,55,11,0,260,409,202,223,0,0,64,0,114,16,104,0,86,115,0,23,58,25,280,0,18,127,47,138,0,43,66,0,0,54,147,15,49,5,0,7,52,5,37,0,19,170,0,0,54,43,235,10,0,71,56,0,2,22,25,16,4,51,0,0,0,110,28,110,0,6,40,0,67,31,0,112,53,0,13,0,71,49,110,58,23,26,51,48,8,44,198,0,31,125,156,88
Sample27,680,124,46,249,30,41,13,0,322,499,249,255,0,0,75,0,76,13,85,0,118,100,0,20,33,13,319,15,7,96,71,133,0,33,67,6,0,30,142,14,48,5,0,8,44,0,23,8,18,174,0,0,93,72,194,32,0,73,84,0,0,29,21,0,14,53,0,0,0,145,46,94,0,0,58,0,79,32,0,121,46,0,13,0,79,38,147,0,23,33,55,30,0,32,96,0,14,114,165,84
Sample28,1180,80,44,147,27,82,13,0,178,255,120,148,0,4,67,0,155,12,70,0,49,79,0,39,82,35,167,20,12,229,21,61,0,58,90,6,0,62,78,13,24,4,0,3,59,0,42,0,22,109,0,0,39,26,155,0,0,30,36,0,0,14,36,21,3,37,7,0,0,48,13,151,0,0,0,0,56,56,0,63,76,0,14,0,39,45,72,68,22,19,28,67,8,36,258,0,29,90,117,119
Sample29,836,85,157,240,33,55,9,0,283,496,207,227,0,4,84,0,100,20,101,0,96,86,0,20,39,17,319,0,7,125,65,98,0,50,65,0,0,28,197,8,48,7,0,8,44,0,38,0,18,146,0,0,135,57,240,20,0,86,83,0,2,30,23,0,8,46,0,0,0,133,30,140,9,0,66,0,63,27,0,125,49,0,13,0,83,45,117,0,20,50,57,41,11,37,72,0,17,76,128,95
Sample30,663,116,64,242,34,43,10,0,210,461,227,241,0,5,76,0,88,16,94,0,106,112,0,21,43,15,299,13,5,92,50,122,0,37,57,0,0,42,147,0,48,5,0,0,53,0,31,0,21,152,0,0,63,52,196,21,0,63,91,5,2,34,19,11,11,67,0,0,0,128,36,107,6,6,64,7,88,34,0,110,47,5,16,0,79,39,154,0,16,29,53,43,8,30,146,3,17,108,167,91
Sample31,521,156,27,235,44,41,13,29,256,606,277,327,0,5,88,34,141,0,75,0,136,146,0,25,55,27,467,17,7,99,105,106,0,24,63,13,5,45,135,13,50,6,19,11,40,5,22,0,20,177,0,2,54,139,407,68,0,74,71,0,3,29,27,9,7,38,0,0,0,118,167,85,9,0,137,0,60,20,0,127,62,0,17,0,75,49,154,0,32,26,56,53,6,13,79,3,15,48,158,100
Sample32,565,161,19,267,40,32,8,18,302,679,361,460,0,0,90,0,79,0,92,0,138,131,0,17,32,17,489,0,0,76,93,120,0,21,52,0,0,28,143,10,65,4,0,7,45,4,23,0,0,254,0,0,72,132,435,95,0,105,80,0,0,32,14,13,16,48,0,0,0,111,142,65,0,14,128,0,75,19,0,139,44,0,14,0,94,41,158,0,40,14,74,36,0,17,55,4,7,49,172,81
Sample33,866,166,38,244,33,69,17,0,287,542,264,301,0,5,92,0,144,0,86,0,139,123,0,27,48,32,454,22,6,111,76,89,0,31,63,11,0,21,111,0,58,8,0,16,37,0,28,0,15,213,0,0,64,90,424,78,0,84,57,0,0,31,31,24,10,39,0,0,0,109,158,91,11,0,127,0,77,29,0,131,82,0,16,0,87,56,84,0,39,28,54,63,15,21,102,0,21,45,170,111
Sample34,1004,116,41,218,29,60,19,0,251,462,232,364,0,6,102,0,158,14,69,0,116,107,0,32,78,34,382,25,12,146,81,82,0,41,75,0,0,44,119,12,39,9,0,24,56,6,56,0,31,211,0,0,58,100,343,69,0,86,50,0,4,30,34,10,7,39,7,0,0,86,130,118,0,6,97,0,65,48,0,109,82,0,18,0,78,52,103,0,32,36,62,90,0,17,117,5,22,38,178,135
Sample35,952,138,24,275,19,58,21,0,304,450,231,282,0,0,124,0,112,0,77,0,111,118,0,35,50,30,370,27,9,117,78,112,0,67,82,0,0,50,96,12,59,0,26,15,58,9,43,0,37,166,0,0,85,108,239,40,0,67,93,0,2,24,21,18,9,78,4,0,0,124,158,134,0,0,65,10,64,30,0,104,60,6,26,0,74,42,87,61,26,34,62,94,14,30,110,0,18,39,200,93
